epoch,step,test/regression_loss,test_rmse,test_score,train/regression_loss,train_rmse,val/regression_loss,val_loss,val_rmse,val_score
0,9,,,,65.04051971435547,,,,,
0,19,,,,16.705129623413086,,,,,
0,29,,,,21.163665771484375,,,,,
0,39,,,,48.79969787597656,,,,,
0,49,,,,62.35618209838867,,,,,
0,49,,,,,,37.353904724121094,1395.314208984375,37.353904724121094,3937.4501953125
0,49,,,,,55.694576263427734,,,,
1,59,,,,52.617557525634766,,,,,
1,69,,,,21.094783782958984,,,,,
1,79,,,,14.561959266662598,,,,,
1,89,,,,47.35033416748047,,,,,
1,99,,,,52.83784484863281,,,,,
1,99,,,,,,26.73345184326172,714.6774291992188,26.73345184326172,1683.498046875
1,99,,,,,38.90205383300781,,,,
2,109,,,,38.06919860839844,,,,,
2,119,,,,14.939038276672363,,,,,
2,129,,,,14.05136489868164,,,,,
2,139,,,,46.61831283569336,,,,,
2,149,,,,52.753883361816406,,,,,
2,149,,,,,,31.8607120513916,1015.10498046875,31.8607120513916,5495.7509765625
2,149,,,,,37.759403228759766,,,,
3,159,,,,41.73190689086914,,,,,
3,169,,,,15.112258911132812,,,,,
3,179,,,,10.063807487487793,,,,,
3,189,,,,46.907772064208984,,,,,
3,199,,,,49.86581039428711,,,,,
3,199,,,,,,30.263784408569336,915.8966674804688,30.263784408569336,2471.1357421875
3,199,,,,,37.0911750793457,,,,
4,209,,,,41.17047882080078,,,,,
4,219,,,,14.148576736450195,,,,,
4,229,,,,13.529356956481934,,,,,
4,239,,,,40.575984954833984,,,,,
4,249,,,,47.94200897216797,,,,,
4,249,,,,,,28.86957359313965,833.4522705078125,28.86957359313965,2819.96533203125
4,249,,,,,36.217979431152344,,,,
5,259,,,,44.75490951538086,,,,,
5,269,,,,13.456171035766602,,,,,
5,279,,,,6.790604114532471,,,,,
5,289,,,,44.959495544433594,,,,,
5,299,,,,44.475101470947266,,,,,
5,299,,,,,,28.629772186279297,819.6638793945312,28.629772186279297,2155.252685546875
5,299,,,,,36.1439208984375,,,,
6,309,,,,35.81303405761719,,,,,
6,319,,,,16.068819046020508,,,,,
6,329,,,,18.067106246948242,,,,,
6,339,,,,40.65943908691406,,,,,
6,349,,,,45.134521484375,,,,,
6,349,,,,,,27.34816551208496,747.9222412109375,27.348167419433594,3575.05078125
6,349,,,,,32.89331817626953,,,,
7,359,,,,44.00130844116211,,,,,
7,369,,,,17.644193649291992,,,,,
7,379,,,,12.538520812988281,,,,,
7,389,,,,42.47023391723633,,,,,
7,399,,,,43.11325454711914,,,,,
7,399,,,,,,26.629474639892578,709.12890625,26.629474639892578,1638.712158203125
7,399,,,,,32.84587097167969,,,,
8,409,,,,31.617780685424805,,,,,
8,419,,,,16.901212692260742,,,,,
8,429,,,,17.579999923706055,,,,,
8,439,,,,37.26996994018555,,,,,
8,449,,,,40.5490837097168,,,,,
8,449,,,,,,27.4842529296875,755.384033203125,27.484251022338867,2110.787353515625
8,449,,,,,28.88645362854004,,,,
9,459,,,,31.02097511291504,,,,,
9,469,,,,15.450196266174316,,,,,
9,479,,,,16.949155807495117,,,,,
9,489,,,,31.13597297668457,,,,,
9,499,,,,39.05542755126953,,,,,
9,499,,,,,,36.740692138671875,1349.87841796875,36.740692138671875,16364.8544921875
9,499,,,,,27.646635055541992,,,,
10,509,,,,40.712093353271484,,,,,
10,519,,,,10.930815696716309,,,,,
10,529,,,,8.489455223083496,,,,,
10,539,,,,28.785184860229492,,,,,
10,549,,,,41.80546569824219,,,,,
10,549,,,,,,34.28533172607422,1175.4840087890625,34.28533172607422,6092.7431640625
10,549,,,,,32.85181427001953,,,,
11,559,,,,37.20256423950195,,,,,
11,569,,,,10.60319709777832,,,,,
11,579,,,,20.43203353881836,,,,,
11,589,,,,38.16387176513672,,,,,
11,599,,,,48.96222686767578,,,,,
11,599,,,,,,77.71846008300781,6040.1591796875,77.71846008300781,2428494.0
11,599,,,,,32.80474853515625,,,,
12,609,,,,32.83866882324219,,,,,
12,619,,,,9.46757698059082,,,,,
12,629,,,,13.885860443115234,,,,,
12,639,,,,25.17867088317871,,,,,
12,649,,,,36.84550094604492,,,,,
12,649,,,,,,49.288002014160156,2429.306884765625,49.28799819946289,115990.84375
12,649,,,,,23.85797119140625,,,,
13,659,,,,28.263473510742188,,,,,
13,669,,,,12.114849090576172,,,,,
13,679,,,,10.042379379272461,,,,,
13,689,,,,23.61979866027832,,,,,
13,699,,,,41.104679107666016,,,,,
13,699,,,,,,25.869911193847656,669.2523193359375,25.869911193847656,1508.075927734375
13,699,,,,,24.011411666870117,,,,
14,709,,,,29.12757110595703,,,,,
14,719,,,,16.494070053100586,,,,,
14,729,,,,21.353296279907227,,,,,
14,739,,,,20.707019805908203,,,,,
14,749,,,,47.87653350830078,,,,,
14,749,,,,,,53.669986724853516,2880.467529296875,53.669986724853516,645478.875
14,749,,,,,25.75754737854004,,,,
15,759,,,,26.424148559570312,,,,,
15,769,,,,21.084064483642578,,,,,
15,779,,,,21.541513442993164,,,,,
15,789,,,,30.177183151245117,,,,,
15,799,,,,48.87748718261719,,,,,
15,799,,,,,,42.637451171875,1817.951904296875,42.637447357177734,51025.765625
15,799,,,,,25.670856475830078,,,,
16,809,,,,18.668834686279297,,,,,
16,819,,,,18.724803924560547,,,,,
16,829,,,,10.335756301879883,,,,,
16,839,,,,29.156455993652344,,,,,
16,849,,,,38.456756591796875,,,,,
16,849,,,,,,27.103939056396484,734.6234130859375,27.10393714904785,2958.638916015625
16,849,,,,,19.40443229675293,,,,
17,859,,,,16.217151641845703,,,,,
17,869,,,,9.994196891784668,,,,,
17,879,,,,18.135658264160156,,,,,
17,889,,,,25.722057342529297,,,,,
17,899,,,,45.3763542175293,,,,,
17,899,,,,,,45.220008850097656,2044.8492431640625,45.220008850097656,52075.48046875
17,899,,,,,19.624305725097656,,,,
18,909,,,,24.405399322509766,,,,,
18,919,,,,16.605152130126953,,,,,
18,929,,,,13.69725513458252,,,,,
18,939,,,,20.454057693481445,,,,,
18,949,,,,41.113861083984375,,,,,
18,949,,,,,,26.318796157836914,692.6791381835938,26.318798065185547,3525.748779296875
18,949,,,,,18.514999389648438,,,,
19,959,,,,10.529644012451172,,,,,
19,969,,,,9.91855525970459,,,,,
19,979,,,,8.92163372039795,,,,,
19,989,,,,16.918292999267578,,,,,
19,999,,,,36.11945343017578,,,,,
19,999,,,,,,82.90957641601562,6873.998046875,82.90957641601562,9852860.0
19,999,,,,,16.268936157226562,,,,
20,1009,,,,17.324914932250977,,,,,
20,1019,,,,8.220974922180176,,,,,
20,1029,,,,9.842601776123047,,,,,
20,1039,,,,15.371790885925293,,,,,
20,1049,,,,36.41946792602539,,,,,
20,1049,,,,,,32.49172592163086,1055.7122802734375,32.49172592163086,11704.27734375
20,1049,,,,,16.99674415588379,,,,
21,1059,,,,14.375877380371094,,,,,
21,1069,,,,11.831075668334961,,,,,
21,1079,,,,13.794946670532227,,,,,
21,1089,,,,14.420392036437988,,,,,
21,1099,,,,38.49109649658203,,,,,
21,1099,,,,,,27.052127838134766,731.817626953125,27.052127838134766,2500.46337890625
21,1099,,,,,15.172764778137207,,,,
22,1109,,,,15.377012252807617,,,,,
22,1119,,,,23.638399124145508,,,,,
22,1129,,,,21.66037368774414,,,,,
22,1139,,,,12.359652519226074,,,,,
22,1149,,,,39.09602355957031,,,,,
22,1149,,,,,,26.49913787841797,702.2042846679688,26.49913787841797,4758.8232421875
22,1149,,,,,16.068340301513672,,,,
23,1159,,,,10.858875274658203,,,,,
23,1169,,,,9.491273880004883,,,,,
23,1179,,,,18.18565559387207,,,,,
23,1189,,,,17.66671371459961,,,,,
23,1199,,,,37.5858039855957,,,,,
23,1199,,,,,,27.607131958007812,762.1537475585938,27.607131958007812,1719.4869384765625
23,1199,,,,,14.489843368530273,,,,
24,1209,,,,8.71987247467041,,,,,
24,1219,,,,10.20969295501709,,,,,
24,1229,,,,20.673564910888672,,,,,
24,1239,,,,10.526905059814453,,,,,
24,1249,,,,28.906198501586914,,,,,
24,1249,,,,,,27.533475875854492,758.0921630859375,27.53347396850586,1884.987060546875
24,1249,,,,,13.674965858459473,,,,
25,1259,,,,9.245914459228516,,,,,
25,1269,,,,9.86359691619873,,,,,
25,1279,,,,24.953304290771484,,,,,
25,1289,,,,17.818950653076172,,,,,
25,1299,,,,41.2910041809082,,,,,
25,1299,,,,,,27.66693878173828,765.45947265625,27.66693878173828,4775.06982421875
25,1299,,,,,15.819326400756836,,,,
26,1309,,,,9.930187225341797,,,,,
26,1319,,,,7.473935604095459,,,,,
26,1329,,,,11.00084114074707,,,,,
26,1339,,,,12.385485649108887,,,,,
26,1349,,,,36.07033157348633,,,,,
26,1349,,,,,,25.38210105895996,644.2509765625,25.382099151611328,2050.9111328125
26,1349,,,,,12.312793731689453,,,,
27,1359,,,,10.455914497375488,,,,,
27,1369,,,,21.430845260620117,,,,,
27,1379,,,,28.424657821655273,,,,,
27,1389,,,,8.430188179016113,,,,,
27,1399,,,,34.86740493774414,,,,,
27,1399,,,,,,24.800395965576172,615.0595703125,24.80039405822754,3496.803955078125
27,1399,,,,,14.073417663574219,,,,
28,1409,,,,13.157456398010254,,,,,
28,1419,,,,16.651657104492188,,,,,
28,1429,,,,7.599143981933594,,,,,
28,1439,,,,8.626213073730469,,,,,
28,1449,,,,28.145105361938477,,,,,
28,1449,,,,,,25.902755737304688,670.95263671875,25.902753829956055,2530.854736328125
28,1449,,,,,12.652094841003418,,,,
29,1459,,,,15.927734375,,,,,
29,1469,,,,16.82647132873535,,,,,
29,1479,,,,10.176369667053223,,,,,
29,1489,,,,9.018110275268555,,,,,
29,1499,,,,21.948389053344727,,,,,
29,1499,,,,,,24.465810775756836,598.5758666992188,24.465810775756836,1945.07421875
29,1499,,,,,13.143380165100098,,,,
30,1509,,,,10.314051628112793,,,,,
30,1519,,,,8.766227722167969,,,,,
30,1529,,,,13.869117736816406,,,,,
30,1539,,,,8.633893013000488,,,,,
30,1549,,,,25.963197708129883,,,,,
30,1549,,,,,,27.642440795898438,764.1045532226562,27.642440795898438,1994.663330078125
30,1549,,,,,12.675518035888672,,,,
31,1559,,,,9.076436996459961,,,,,
31,1569,,,,8.648974418640137,,,,,
31,1579,,,,23.217458724975586,,,,,
31,1589,,,,18.03141212463379,,,,,
31,1599,,,,37.455116271972656,,,,,
31,1599,,,,,,26.459548950195312,700.1077270507812,26.459548950195312,2063.39990234375
31,1599,,,,,13.1334228515625,,,,
32,1609,,,,9.354440689086914,,,,,
32,1619,,,,8.310473442077637,,,,,
32,1629,,,,8.685484886169434,,,,,
32,1639,,,,12.904425621032715,,,,,
32,1649,,,,36.44102478027344,,,,,
32,1649,,,,,,29.073509216308594,845.2689208984375,29.073509216308594,6018.341796875
32,1649,,,,,11.712933540344238,,,,
33,1659,,,,17.33816909790039,,,,,
33,1669,,,,15.835677146911621,,,,,
33,1679,,,,8.711360931396484,,,,,
33,1689,,,,13.8744478225708,,,,,
33,1699,,,,27.00543212890625,,,,,
33,1699,,,,,,25.895448684692383,670.5742797851562,25.895448684692383,2942.068359375
33,1699,,,,,14.387398719787598,,,,
34,1709,,,,8.003990173339844,,,,,
34,1719,,,,8.627702713012695,,,,,
34,1729,,,,11.342884063720703,,,,,
34,1739,,,,8.156901359558105,,,,,
34,1749,,,,31.201784133911133,,,,,
34,1749,,,,,,24.133255004882812,582.4140625,24.133256912231445,2114.490234375
34,1749,,,,,10.755594253540039,,,,
35,1759,,,,8.19804859161377,,,,,
35,1769,,,,8.96223258972168,,,,,
35,1779,,,,11.817251205444336,,,,,
35,1789,,,,8.531917572021484,,,,,
35,1799,,,,30.8697509765625,,,,,
35,1799,,,,,,26.878307342529297,722.4434204101562,26.878307342529297,4800.9580078125
35,1799,,,,,10.734882354736328,,,,
36,1809,,,,7.7246413230896,,,,,
36,1819,,,,10.606301307678223,,,,,
36,1829,,,,15.213000297546387,,,,,
36,1839,,,,10.019030570983887,,,,,
36,1849,,,,26.754072189331055,,,,,
36,1849,,,,,,27.649757385253906,764.5090942382812,27.649757385253906,2572.461669921875
36,1849,,,,,10.605635643005371,,,,
37,1859,,,,9.135063171386719,,,,,
37,1869,,,,11.995368003845215,,,,,
37,1879,,,,8.86489486694336,,,,,
37,1889,,,,18.093259811401367,,,,,
37,1899,,,,39.436336517333984,,,,,
37,1899,,,,,,26.141841888427734,683.3958740234375,26.141841888427734,3445.6357421875
37,1899,,,,,12.395011901855469,,,,
38,1909,,,,19.605426788330078,,,,,
38,1919,,,,10.073936462402344,,,,,
38,1929,,,,8.018909454345703,,,,,
38,1939,,,,10.437090873718262,,,,,
38,1949,,,,31.232528686523438,,,,,
38,1949,,,,,,24.22545051574707,586.8723754882812,24.225448608398438,2317.1357421875
38,1949,,,,,14.73313045501709,,,,
39,1959,,,,8.684857368469238,,,,,
39,1969,,,,8.141220092773438,,,,,
39,1979,,,,12.636098861694336,,,,,
39,1989,,,,15.357232093811035,,,,,
39,1999,,,,36.086971282958984,,,,,
39,1999,,,,,,26.16635513305664,684.6781616210938,26.16635513305664,3115.662353515625
39,1999,,,,,10.244049072265625,,,,
40,2009,,,,13.483585357666016,,,,,
40,2019,,,,8.69242000579834,,,,,
40,2029,,,,8.04648494720459,,,,,
40,2039,,,,8.30600357055664,,,,,
40,2049,,,,22.841123580932617,,,,,
40,2049,,,,,,25.985572814941406,675.25,25.985572814941406,1901.043212890625
40,2049,,,,,11.673104286193848,,,,
41,2059,,,,6.9272966384887695,,,,,
41,2069,,,,10.815397262573242,,,,,
41,2079,,,,6.548102378845215,,,,,
41,2089,,,,11.056642532348633,,,,,
41,2099,,,,29.82486343383789,,,,,
41,2099,,,,,,22.885332107543945,523.738525390625,22.885334014892578,2193.31103515625
41,2099,,,,,10.957693099975586,,,,
42,2109,,,,6.274561882019043,,,,,
42,2119,,,,9.818007469177246,,,,,
42,2129,,,,6.332253932952881,,,,,
42,2139,,,,9.45608139038086,,,,,
42,2149,,,,26.96443748474121,,,,,
42,2149,,,,,,42.460044860839844,1802.8551025390625,42.46004104614258,51455.671875
42,2149,,,,,9.113030433654785,,,,
43,2159,,,,6.323097229003906,,,,,
43,2169,,,,6.740678787231445,,,,,
43,2179,,,,15.4995756149292,,,,,
43,2189,,,,15.295726776123047,,,,,
43,2199,,,,27.017086029052734,,,,,
