epoch,step,train/regression_loss,val/regression_loss
0,9,0.8417912721633911,
0,19,0.8998245596885681,
0,29,0.7776587605476379,
0,39,0.8000764846801758,
0,49,0.714799702167511,
0,59,0.8225017189979553,
0,69,0.7911774516105652,
0,79,0.7384857535362244,
0,89,0.7206512689590454,
0,99,0.7348229289054871,
0,109,0.7200682163238525,
0,119,0.6539931297302246,
0,129,0.620295524597168,
0,139,0.6254960298538208,
0,149,0.6721007823944092,
0,159,0.6067454218864441,
0,169,0.6143031716346741,
0,179,0.5901136994361877,
0,189,0.5806609988212585,
0,199,0.5311377048492432,
0,209,0.5615152716636658,
0,219,0.5860456228256226,
0,229,0.489987313747406,
0,239,0.49794304370880127,
0,249,0.5262173414230347,
0,259,0.4934057593345642,
0,269,0.4984598457813263,
0,279,0.4989308714866638,
0,289,0.459902286529541,
0,299,0.5045941472053528,
0,309,0.495240718126297,
0,319,0.439596027135849,
0,329,0.4313945770263672,
0,339,0.4667394161224365,
0,349,0.4353015720844269,
0,359,0.4804381728172302,
0,369,0.44390082359313965,
0,379,0.5010305047035217,
0,389,0.4306057393550873,
0,390,,0.4096311330795288
1,399,0.4550688862800598,
1,409,0.45128166675567627,
1,419,0.45918843150138855,
1,429,0.45052191615104675,
1,439,0.4582841396331787,
1,449,0.45664313435554504,
1,459,0.42943501472473145,
1,469,0.40670251846313477,
1,479,0.42904630303382874,
1,489,0.4285663366317749,
1,499,0.40477409958839417,
1,509,0.4222696125507355,
1,519,0.4496532082557678,
1,529,0.4200417399406433,
1,539,0.4721881151199341,
1,549,0.399988055229187,
1,559,0.4498244524002075,
1,569,0.4040285050868988,
1,579,0.4221786558628082,
1,589,0.3796347677707672,
1,599,0.44702014327049255,
1,609,0.39966732263565063,
1,619,0.39190351963043213,
1,629,0.3970744013786316,
1,639,0.3955587148666382,
1,649,0.42013847827911377,
1,659,0.40803804993629456,
1,669,0.41799867153167725,
1,679,0.4445318877696991,
1,689,0.3780966103076935,
1,699,0.39516499638557434,
1,709,0.39480647444725037,
1,719,0.39926835894584656,
1,729,0.3673659861087799,
1,739,0.3767884373664856,
1,749,0.4698489010334015,
1,759,0.4135640561580658,
1,769,0.4002464711666107,
1,779,0.3465712368488312,
1,781,,0.3515753746032715
2,789,0.40070098638534546,
2,799,0.3707348108291626,
2,809,0.3708515763282776,
2,819,0.4069191515445709,
2,829,0.36786457896232605,
2,839,0.37739691138267517,
2,849,0.36637234687805176,
2,859,0.3860357999801636,
2,869,0.35599082708358765,
2,879,0.3819994330406189,
2,889,0.35635918378829956,
2,899,0.40126484632492065,
2,909,0.38707953691482544,
2,919,0.3553622364997864,
2,929,0.36570417881011963,
2,939,0.376842200756073,
2,949,0.36917591094970703,
2,959,0.3493594229221344,
2,969,0.37476494908332825,
2,979,0.4014277756214142,
2,989,0.40339139103889465,
2,999,0.37454953789711,
2,1009,0.38267484307289124,
2,1019,0.3854491412639618,
2,1029,0.3556192219257355,
2,1039,0.36455655097961426,
2,1049,0.41538986563682556,
2,1059,0.35403507947921753,
2,1069,0.3608618974685669,
2,1079,0.37860971689224243,
2,1089,0.33363592624664307,
2,1099,0.37628716230392456,
2,1109,0.3701222836971283,
2,1119,0.3759368062019348,
2,1129,0.3844609558582306,
2,1139,0.3916100561618805,
2,1149,0.37003132700920105,
2,1159,0.3801032304763794,
2,1169,0.3479248285293579,
2,1172,,0.33421435952186584
3,1179,0.3906739354133606,
3,1189,0.3712068796157837,
3,1199,0.3517841100692749,
3,1209,0.37569987773895264,
3,1219,0.3381088376045227,
3,1229,0.37849804759025574,
3,1239,0.3437119722366333,
3,1249,0.3506217300891876,
3,1259,0.4193711280822754,
3,1269,0.37122324109077454,
3,1279,0.3520143926143646,
3,1289,0.33307501673698425,
3,1299,0.38140594959259033,
3,1309,0.3583487570285797,
3,1319,0.38912370800971985,
3,1329,0.3583652079105377,
3,1339,0.3875565528869629,
3,1349,0.3595905303955078,
3,1359,0.3561556935310364,
3,1369,0.38184604048728943,
3,1379,0.36322006583213806,
3,1389,0.36393076181411743,
3,1399,0.3542076051235199,
3,1409,0.37178969383239746,
3,1419,0.35276249051094055,
3,1429,0.3454201817512512,
3,1439,0.3479294776916504,
3,1449,0.3395117521286011,
3,1459,0.3498956561088562,
3,1469,0.3711998164653778,
3,1479,0.34002596139907837,
3,1489,0.37442368268966675,
3,1499,0.34363579750061035,
3,1509,0.3838250935077667,
3,1519,0.3347647786140442,
3,1529,0.3555562496185303,
3,1539,0.36479422450065613,
3,1549,0.3657541871070862,
3,1559,0.36792120337486267,
3,1563,,0.3251105844974518
4,1569,0.35432419180870056,
4,1579,0.378101646900177,
4,1589,0.3380991220474243,
4,1599,0.3390939235687256,
4,1609,0.3778546452522278,
4,1619,0.34166327118873596,
4,1629,0.3682365417480469,
4,1639,0.3401193618774414,
4,1649,0.3640880286693573,
4,1659,0.34974342584609985,
4,1669,0.3392893075942993,
4,1679,0.33854740858078003,
4,1689,0.3476659953594208,
4,1699,0.379318505525589,
4,1709,0.3271864950656891,
4,1719,0.3775591254234314,
4,1729,0.38554510474205017,
4,1739,0.35312387347221375,
4,1749,0.40831053256988525,
4,1759,0.35671862959861755,
4,1769,0.34599465131759644,
4,1779,0.33529573678970337,
4,1789,0.3716224730014801,
4,1799,0.3521152436733246,
4,1809,0.3910715878009796,
4,1819,0.33586829900741577,
4,1829,0.3245142102241516,
4,1839,0.3699182868003845,
4,1849,0.3461388051509857,
4,1859,0.36150598526000977,
4,1869,0.3434005379676819,
4,1879,0.37285691499710083,
4,1889,0.326843798160553,
4,1899,0.3856750726699829,
4,1909,0.3206882178783417,
4,1919,0.3377542495727539,
4,1929,0.34883660078048706,
4,1939,0.3635305166244507,
4,1949,0.369053453207016,
4,1954,,0.3203486204147339
5,1959,0.35791996121406555,
5,1969,0.34775009751319885,
5,1979,0.3245711624622345,
5,1989,0.33403587341308594,
5,1999,0.3662818670272827,
5,2009,0.34310489892959595,
5,2019,0.37416237592697144,
5,2029,0.32253676652908325,
5,2039,0.37574854493141174,
5,2049,0.3224322199821472,
5,2059,0.3370887339115143,
5,2069,0.3481362462043762,
5,2079,0.33020859956741333,
5,2089,0.3849457800388336,
5,2099,0.34632745385169983,
5,2109,0.37796834111213684,
5,2119,0.3417932689189911,
5,2129,0.32928571105003357,
5,2139,0.3571111857891083,
5,2149,0.3551549017429352,
5,2159,0.36677199602127075,
5,2169,0.34935978055000305,
5,2179,0.34044933319091797,
5,2189,0.3405725955963135,
5,2199,0.3282807469367981,
5,2209,0.34733471274375916,
5,2219,0.3359432816505432,
5,2229,0.3609144389629364,
5,2239,0.35758084058761597,
5,2249,0.34287551045417786,
5,2259,0.3520827889442444,
5,2269,0.34208160638809204,
5,2279,0.3105822503566742,
5,2289,0.33755603432655334,
5,2299,0.3300204575061798,
5,2309,0.32284289598464966,
5,2319,0.3474361002445221,
5,2329,0.3354088366031647,
5,2339,0.32104527950286865,
5,2345,,0.31851935386657715
6,2349,0.34803932905197144,
6,2359,0.32177960872650146,
6,2369,0.38110268115997314,
6,2379,0.34039923548698425,
6,2389,0.34338656067848206,
6,2399,0.3463297188282013,
6,2409,0.368619829416275,
6,2419,0.36276352405548096,
6,2429,0.36831262707710266,
6,2439,0.32204875349998474,
6,2449,0.3235977590084076,
6,2459,0.33333659172058105,
6,2469,0.3266563415527344,
6,2479,0.35811281204223633,
6,2489,0.33085763454437256,
6,2499,0.32880088686943054,
6,2509,0.35048916935920715,
6,2519,0.38912612199783325,
6,2529,0.3255020081996918,
6,2539,0.38753610849380493,
6,2549,0.3683258891105652,
6,2559,0.34431999921798706,
6,2569,0.3135905861854553,
6,2579,0.3572523295879364,
6,2589,0.3285652995109558,
6,2599,0.3515937328338623,
6,2609,0.3568435609340668,
6,2619,0.3294694721698761,
6,2629,0.3199535012245178,
6,2639,0.3606252074241638,
6,2649,0.362283319234848,
6,2659,0.3262052834033966,
6,2669,0.3386966288089752,
6,2679,0.33241066336631775,
6,2689,0.38138437271118164,
6,2699,0.36585837602615356,
6,2709,0.33776479959487915,
6,2719,0.3611200749874115,
6,2729,0.3299654722213745,
6,2736,,0.31715574860572815
7,2739,0.4005454182624817,
7,2749,0.3816947042942047,
7,2759,0.3556179702281952,
7,2769,0.3729385435581207,
7,2779,0.331592857837677,
7,2789,0.35467374324798584,
7,2799,0.37571123242378235,
7,2809,0.33549806475639343,
7,2819,0.3057451844215393,
7,2829,0.36078283190727234,
7,2839,0.3302295207977295,
7,2849,0.32467547059059143,
7,2859,0.3318907618522644,
7,2869,0.3226064443588257,
7,2879,0.33505189418792725,
7,2889,0.327438622713089,
7,2899,0.35634851455688477,
7,2909,0.32609546184539795,
7,2919,0.33774396777153015,
7,2929,0.3233714997768402,
7,2939,0.3554697036743164,
7,2949,0.35919275879859924,
7,2959,0.3807739019393921,
7,2969,0.3255889415740967,
7,2979,0.34440863132476807,
7,2989,0.33131012320518494,
7,2999,0.3434866964817047,
7,3009,0.3661057949066162,
7,3019,0.3253685534000397,
7,3029,0.3267517685890198,
7,3039,0.3290193974971771,
7,3049,0.3569534420967102,
7,3059,0.3561009466648102,
7,3069,0.34032824635505676,
7,3079,0.3247278034687042,
7,3089,0.3395778238773346,
7,3099,0.3995552659034729,
7,3109,0.3128645718097687,
7,3119,0.32985445857048035,
7,3127,,0.3164341449737549
8,3129,0.32326096296310425,
8,3139,0.36789730191230774,
8,3149,0.361857146024704,
8,3159,0.3244129717350006,
8,3169,0.3620254695415497,
8,3179,0.32689720392227173,
8,3189,0.37916234135627747,
8,3199,0.35327738523483276,
8,3209,0.3170590102672577,
8,3219,0.3572961688041687,
8,3229,0.32413962483406067,
8,3239,0.317831814289093,
8,3249,0.3462344706058502,
8,3259,0.33229687809944153,
8,3269,0.3322356939315796,
8,3279,0.3478701710700989,
8,3289,0.3195488154888153,
8,3299,0.3637712895870209,
8,3309,0.3308022916316986,
8,3319,0.3170086741447449,
8,3329,0.33714592456817627,
8,3339,0.3216203451156616,
8,3349,0.3314954936504364,
8,3359,0.3316958546638489,
8,3369,0.33830320835113525,
8,3379,0.3230375051498413,
8,3389,0.3354659974575043,
8,3399,0.3306335508823395,
8,3409,0.3230036497116089,
8,3419,0.33088892698287964,
8,3429,0.3296003043651581,
8,3439,0.33186089992523193,
8,3449,0.3796440362930298,
8,3459,0.3126748502254486,
8,3469,0.3143002390861511,
8,3479,0.3180433213710785,
8,3489,0.3095287084579468,
8,3499,0.330443799495697,
8,3509,0.34652671217918396,
8,3518,,0.3148583173751831
9,3519,0.3552232086658478,
9,3529,0.32729968428611755,
9,3539,0.36831802129745483,
9,3549,0.33005550503730774,
9,3559,0.3301146626472473,
9,3569,0.3131024241447449,
9,3579,0.3273857533931732,
9,3589,0.3896248936653137,
9,3599,0.32440394163131714,
9,3609,0.3583223223686218,
9,3619,0.3207164704799652,
9,3629,0.3293546140193939,
9,3639,0.3674159646034241,
9,3649,0.32817938923835754,
9,3659,0.3175123333930969,
9,3669,0.35550203919410706,
9,3679,0.3403220772743225,
9,3689,0.3226352632045746,
9,3699,0.32753798365592957,
9,3709,0.34765198826789856,
9,3719,0.33284878730773926,
9,3729,0.36369502544403076,
9,3739,0.35762009024620056,
9,3749,0.3398447632789612,
9,3759,0.3334514796733856,
9,3769,0.33505719900131226,
9,3779,0.3348265290260315,
9,3789,0.33455321192741394,
9,3799,0.3395903408527374,
9,3809,0.3728584349155426,
9,3819,0.3509693741798401,
9,3829,0.3209085762500763,
9,3839,0.32451555132865906,
9,3849,0.348469078540802,
9,3859,0.3417665958404541,
9,3869,0.33532559871673584,
9,3879,0.3533231317996979,
9,3889,0.33530744910240173,
9,3899,0.3164106607437134,
9,3909,0.3086104094982147,
9,3909,,0.31421351432800293
10,3919,0.33984631299972534,
10,3929,0.3428138196468353,
10,3939,0.35987046360969543,
10,3949,0.32491111755371094,
10,3959,0.32131052017211914,
10,3969,0.3181813061237335,
10,3979,0.3377707600593567,
10,3989,0.3298131823539734,
10,3999,0.3198237717151642,
10,4009,0.30171072483062744,
10,4019,0.3285507559776306,
10,4029,0.37114283442497253,
10,4039,0.3442515432834625,
10,4049,0.3591277599334717,
10,4059,0.3145037889480591,
10,4069,0.35545462369918823,
