epoch,step,test/regression_loss,test_rmse,test_score,train/regression_loss,train_rmse,val/regression_loss,val_loss,val_rmse,val_score
0,9,,,,68.82675170898438,,,,,
0,19,,,,80.5396957397461,,,,,
0,22,,,,,,82.64232635498047,6829.7529296875,82.64231872558594,278532.1875
0,22,,,,,88.84720611572266,,,,
1,29,,,,92.68182373046875,,,,,
1,39,,,,97.25013732910156,,,,,
1,45,,,,,,74.7467041015625,5587.06982421875,74.7467041015625,129688.25
1,45,,,,,84.13967895507812,,,,
2,49,,,,63.748939514160156,,,,,
2,59,,,,82.79322052001953,,,,,
2,68,,,,,,64.48631286621094,4158.484375,64.48631286621094,52199.71484375
2,68,,,,,77.10832977294922,,,,
3,69,,,,69.96902465820312,,,,,
3,79,,,,84.67440032958984,,,,,
3,89,,,,90.85185241699219,,,,,
3,91,,,,,,52.8189697265625,2789.84326171875,52.818965911865234,26263.2265625
3,91,,,,,67.21929168701172,,,,
4,99,,,,22.001848220825195,,,,,
4,109,,,,37.11912155151367,,,,,
4,114,,,,,,35.71528625488281,1275.5814208984375,35.71528244018555,9021.720703125
4,114,,,,,54.46598434448242,,,,
5,119,,,,22.993328094482422,,,,,
5,129,,,,21.646997451782227,,,,,
5,137,,,,,,33.715572357177734,1136.7398681640625,33.715572357177734,15619.0859375
5,137,,,,,42.30141830444336,,,,
6,139,,,,31.743349075317383,,,,,
6,149,,,,11.700034141540527,,,,,
6,159,,,,9.907254219055176,,,,,
6,160,,,,,,23.737747192382812,563.4806518554688,23.737747192382812,2228.3134765625
6,160,,,,,33.444541931152344,,,,
7,169,,,,25.56308937072754,,,,,
7,179,,,,60.46492385864258,,,,,
7,183,,,,,,36.03264236450195,1298.351318359375,36.03264236450195,13003.9853515625
7,183,,,,,27.8002986907959,,,,
8,189,,,,7.2285308837890625,,,,,
8,199,,,,14.121050834655762,,,,,
8,206,,,,,,24.08654022216797,580.1614379882812,24.08654022216797,2825.158447265625
8,206,,,,,26.140531539916992,,,,
9,209,,,,23.8612060546875,,,,,
9,219,,,,24.903427124023438,,,,,
9,229,,,,68.86861419677734,,,,,
9,229,,,,,,24.908655166625977,620.4411010742188,24.908655166625977,3755.1640625
9,229,,,,,25.645109176635742,,,,
10,239,,,,18.963878631591797,,,,,
10,249,,,,6.530337333679199,,,,,
10,252,,,,,,25.32392120361328,641.3009033203125,25.32391929626465,2339.26220703125
10,252,,,,,24.422998428344727,,,,
11,259,,,,17.145526885986328,,,,,
11,269,,,,26.345155715942383,,,,,
11,275,,,,,,25.525075912475586,651.5294189453125,25.525074005126953,2367.48974609375
11,275,,,,,23.695722579956055,,,,
12,279,,,,12.594301223754883,,,,,
12,289,,,,15.511255264282227,,,,,
12,298,,,,,,23.97978401184082,575.030029296875,23.97978401184082,4963.72021484375
12,298,,,,,23.450153350830078,,,,
13,299,,,,8.01967716217041,,,,,
13,309,,,,44.10248947143555,,,,,
13,319,,,,39.174598693847656,,,,,
13,321,,,,,,24.692052841186523,609.6973876953125,24.69205093383789,3336.970947265625
13,321,,,,,22.996597290039062,,,,
14,329,,,,33.71652603149414,,,,,
14,339,,,,10.8593111038208,,,,,
14,344,,,,,,24.822036743164062,616.1334838867188,24.822036743164062,4462.74658203125
14,344,,,,,22.770980834960938,,,,
15,349,,,,15.44171142578125,,,,,
15,359,,,,7.762797832489014,,,,,
15,367,,,,,,25.130945205688477,631.5643310546875,25.130943298339844,5025.18603515625
15,367,,,,,22.291168212890625,,,,
16,369,,,,10.525237083435059,,,,,
16,379,,,,9.543386459350586,,,,,
16,389,,,,4.827328205108643,,,,,
16,390,,,,,,24.616762161254883,605.98486328125,24.61676025390625,5320.01416015625
16,390,,,,,21.794002532958984,,,,
17,399,,,,16.46466064453125,,,,,
17,409,,,,51.77964782714844,,,,,
17,413,,,,,,24.163475036621094,583.87353515625,24.163475036621094,13268.0927734375
17,413,,,,,21.264881134033203,,,,
18,419,,,,7.654841899871826,,,,,
18,429,,,,10.494882583618164,,,,,
18,436,,,,,,24.00090789794922,576.0435791015625,24.00090789794922,10883.943359375
18,436,,,,,20.81698989868164,,,,
19,439,,,,10.442501068115234,,,,,
19,449,,,,19.14826202392578,,,,,
19,459,,,,69.81047058105469,,,,,
19,459,,,,,,24.41961097717285,596.3173828125,24.41961097717285,9269.94140625
19,459,,,,,20.54607582092285,,,,
20,469,,,,19.438411712646484,,,,,
20,479,,,,4.433013439178467,,,,,
20,482,,,,,,23.352941513061523,545.3598022460938,23.35293960571289,7031.60546875
20,482,,,,,21.003572463989258,,,,
21,489,,,,13.509910583496094,,,,,
21,499,,,,22.62750244140625,,,,,
21,505,,,,,,24.416269302368164,596.1542358398438,24.416269302368164,9203.41796875
21,505,,,,,21.024141311645508,,,,
22,509,,,,14.25439453125,,,,,
22,519,,,,9.953476905822754,,,,,
22,528,,,,,,25.712745666503906,661.145263671875,25.712745666503906,22267.208984375
22,528,,,,,20.423419952392578,,,,
23,529,,,,6.416749954223633,,,,,
23,539,,,,35.891693115234375,,,,,
23,549,,,,32.537353515625,,,,,
23,551,,,,,,24.262861251831055,588.6864624023438,24.262861251831055,6124.529296875
23,551,,,,,19.97056007385254,,,,
24,559,,,,36.083030700683594,,,,,
24,569,,,,10.84266185760498,,,,,
24,574,,,,,,24.64628028869629,607.4391479492188,24.64628028869629,3131.442626953125
24,574,,,,,19.7203311920166,,,,
25,579,,,,15.511027336120605,,,,,
25,589,,,,7.2070231437683105,,,,,
25,597,,,,,,24.236265182495117,587.396484375,24.236263275146484,5653.39990234375
25,597,,,,,19.21922492980957,,,,
26,599,,,,6.454442501068115,,,,,
26,609,,,,9.428447723388672,,,,,
26,619,,,,5.594301700592041,,,,,
26,620,,,,,,23.792905807495117,566.1023559570312,23.792905807495117,10780.548828125
26,620,,,,,19.034008026123047,,,,
27,629,,,,14.474879264831543,,,,,
27,639,,,,47.26976013183594,,,,,
27,643,,,,,,25.639347076416016,657.3760986328125,25.639347076416016,13271.609375
27,643,,,,,19.60608673095703,,,,
28,649,,,,9.668289184570312,,,,,
28,659,,,,9.205681800842285,,,,,
28,666,,,,,,23.314287185668945,543.5559692382812,23.314287185668945,7683.13330078125
28,666,,,,,19.43781280517578,,,,
29,669,,,,4.004660129547119,,,,,
29,679,,,,19.07240867614746,,,,,
29,689,,,,69.957275390625,,,,,
29,689,,,,,,23.635040283203125,558.6151123046875,23.635040283203125,3084.96923828125
29,689,,,,,19.183731079101562,,,,
30,699,,,,16.257282257080078,,,,,
30,709,,,,4.288698196411133,,,,,
30,712,,,,,,23.54619026184082,554.423095703125,23.54619026184082,2928.545654296875
30,712,,,,,18.537094116210938,,,,
31,719,,,,10.021921157836914,,,,,
31,729,,,,12.37762451171875,,,,,
31,735,,,,,,23.4080867767334,547.9384155273438,23.408084869384766,1725.7431640625
31,735,,,,,18.177595138549805,,,,
32,739,,,,13.334444046020508,,,,,
32,749,,,,8.60385513305664,,,,,
32,758,,,,,,23.561115264892578,555.1261596679688,23.561115264892578,3932.41455078125
32,758,,,,,19.38010597229004,,,,
33,759,,,,6.136356830596924,,,,,
33,769,,,,28.357027053833008,,,,,
33,779,,,,30.758424758911133,,,,,
33,781,,,,,,23.556673049926758,554.9168701171875,23.556673049926758,1656.853271484375
33,781,,,,,18.404315948486328,,,,
34,789,,,,34.231571197509766,,,,,
34,799,,,,12.247030258178711,,,,,
34,804,,,,,,23.7730655670166,565.1586303710938,23.7730655670166,3781.259765625
34,804,,,,,18.229833602905273,,,,
35,809,,,,14.626463890075684,,,,,
35,819,,,,14.349471092224121,,,,,
35,827,,,,,,22.804061889648438,520.0252685546875,22.804061889648438,5138.03125
35,827,,,,,18.10548973083496,,,,
36,829,,,,4.854727268218994,,,,,
36,839,,,,7.297381401062012,,,,,
36,849,,,,3.863342761993408,,,,,
36,850,,,,,,24.440988540649414,597.3619384765625,24.440988540649414,6196.53173828125
36,850,,,,,18.316978454589844,,,,
37,859,,,,12.349013328552246,,,,,
37,869,,,,44.92737579345703,,,,,
37,873,,,,,,23.29600715637207,542.7039794921875,23.29600715637207,5075.99609375
37,873,,,,,17.675642013549805,,,,
38,879,,,,7.401436805725098,,,,,
38,889,,,,7.993000507354736,,,,,
38,896,,,,,,25.033336639404297,626.6678466796875,25.033334732055664,10562.630859375
38,896,,,,,17.150192260742188,,,,
39,899,,,,4.424315929412842,,,,,
39,909,,,,16.633136749267578,,,,,
39,919,,,,70.16098022460938,,,,,
39,919,,,,,,23.71354866027832,562.3323974609375,23.71354866027832,9172.322265625
39,919,,,,,17.293094635009766,,,,
40,929,,,,15.200518608093262,,,,,
40,939,,,,4.281949996948242,,,,,
40,942,,,,,,26.592514038085938,707.1618041992188,26.592514038085938,17242.66796875
40,942,,,,,17.35336685180664,,,,
41,949,,,,10.02736759185791,,,,,
41,959,,,,13.687670707702637,,,,,
41,965,,,,,,23.876075744628906,570.0670166015625,23.876075744628906,6985.064453125
41,965,,,,,17.055652618408203,,,,
42,969,,,,10.942553520202637,,,,,
42,979,,,,5.583949565887451,,,,,
42,988,,,,,,24.47967529296875,599.2545166015625,24.47967529296875,6206.7265625
42,988,,,,,16.99715805053711,,,,
