epoch,step,train/regression_loss,val/regression_loss
0,9,0.6399251818656921,
0,19,0.6757500171661377,
0,29,0.630612313747406,
0,39,0.6586710810661316,
0,49,0.6494023203849792,
0,59,0.5853689908981323,
0,69,0.5920875668525696,
0,79,0.6362598538398743,
0,89,0.6197728514671326,
0,97,,0.5931025743484497
1,99,0.6072879433631897,
1,109,0.5612993240356445,
1,119,0.6162203550338745,
1,129,0.6046735644340515,
1,139,0.5694669485092163,
1,149,0.5886528491973877,
1,159,0.5466723442077637,
1,169,0.625749945640564,
1,179,0.564041793346405,
1,189,0.6018970012664795,
1,195,,0.5799292325973511
2,199,0.6068530082702637,
2,209,0.583564281463623,
2,219,0.5749105215072632,
2,229,0.5497095584869385,
2,239,0.588660478591919,
2,249,0.5955302715301514,
2,259,0.5657954812049866,
2,269,0.5894768238067627,
2,279,0.5905410647392273,
2,289,0.5852283835411072,
2,293,,0.5866045951843262
3,299,0.6301953196525574,
3,309,0.6061385869979858,
3,319,0.565078616142273,
3,329,0.5884493589401245,
3,339,0.579239547252655,
3,349,0.5868774652481079,
3,359,0.5735886096954346,
3,369,0.5649511814117432,
3,379,0.5680070519447327,
3,389,0.5509797930717468,
3,391,,0.5787525177001953
4,399,0.6018959283828735,
4,409,0.6153512001037598,
4,419,0.6238172650337219,
4,429,0.566584050655365,
4,439,0.6034205555915833,
4,449,0.5988800525665283,
4,459,0.6008816957473755,
4,469,0.5799453854560852,
4,479,0.5830275416374207,
4,489,0.5879724025726318,
4,489,,0.5765957236289978
5,499,0.5564173460006714,
5,509,0.5874869227409363,
5,519,0.581892192363739,
5,529,0.6073811650276184,
5,539,0.5852178335189819,
5,549,0.5530442595481873,
5,559,0.5752446055412292,
5,569,0.549504816532135,
5,579,0.5835940837860107,
5,587,,0.5745900869369507
6,589,0.5652759671211243,
6,599,0.5561251640319824,
6,609,0.5615853667259216,
6,619,0.5895258188247681,
6,629,0.5811413526535034,
6,639,0.5824488997459412,
6,649,0.5622832775115967,
6,659,0.582251787185669,
6,669,0.5812268853187561,
6,679,0.5911874175071716,
6,685,,0.5771152973175049
7,689,0.5460531711578369,
7,699,0.6470072269439697,
7,709,0.6254768967628479,
7,719,0.6224526166915894,
7,729,0.6156803369522095,
7,739,0.5798798203468323,
7,749,0.5809138417243958,
7,759,0.5580084919929504,
7,769,0.5981226563453674,
7,779,0.6319527626037598,
7,783,,0.5781116485595703
8,789,0.5438469052314758,
8,799,0.5644469261169434,
8,809,0.5673488974571228,
8,819,0.6067097783088684,
8,829,0.6022883653640747,
8,839,0.5769827365875244,
8,849,0.5409037470817566,
8,859,0.597446858882904,
8,869,0.6008530855178833,
8,879,0.5662951469421387,
8,881,,0.5730552673339844
9,889,0.5570231676101685,
9,899,0.5531772971153259,
9,909,0.5775445699691772,
9,919,0.5912939310073853,
9,929,0.5610246062278748,
9,939,0.5987409949302673,
9,949,0.5947971940040588,
9,959,0.6133221387863159,
9,969,0.6214194893836975,
9,979,0.5348466038703918,
9,979,,0.5672942996025085
10,989,0.5523480772972107,
10,999,0.5748502016067505,
10,1009,0.560543417930603,
10,1019,0.6063071489334106,
10,1029,0.6425039172172546,
10,1039,0.5542060136795044,
10,1049,0.5618008971214294,
10,1059,0.5600488781929016,
10,1069,0.5491948127746582,
10,1077,,0.5688451528549194
11,1079,0.5473005771636963,
11,1089,0.6361480355262756,
11,1099,0.5945367217063904,
11,1109,0.5572397112846375,
11,1119,0.5334815979003906,
11,1129,0.561138391494751,
11,1139,0.5681686401367188,
11,1149,0.5595089197158813,
11,1159,0.5574333667755127,
11,1169,0.5940727591514587,
11,1175,,0.5662014484405518
12,1179,0.5925881862640381,
12,1189,0.5852771401405334,
12,1199,0.570029079914093,
12,1209,0.5526913404464722,
12,1219,0.5533463358879089,
12,1229,0.5825842618942261,
12,1239,0.5859524607658386,
12,1249,0.556972861289978,
12,1259,0.5512080192565918,
12,1269,0.5750524997711182,
12,1273,,0.5655459761619568
13,1279,0.5853399634361267,
13,1289,0.5823524594306946,
13,1299,0.6328949928283691,
13,1309,0.571967601776123,
13,1319,0.5470123291015625,
13,1329,0.5596184730529785,
