epoch,step,test/regression_loss,test_rmse,test_score,train/regression_loss,train_rmse,val/regression_loss,val_loss,val_rmse,val_score
0,9,,,,91.66840362548828,,,,,
0,19,,,,56.70182418823242,,,,,
0,29,,,,18.6223087310791,,,,,
0,39,,,,33.240966796875,,,,,
0,49,,,,26.305723190307617,,,,,
0,59,,,,45.27924346923828,,,,,
0,69,,,,26.27629280090332,,,,,
0,79,,,,18.280790328979492,,,,,
0,89,,,,49.606204986572266,,,,,
0,99,,,,24.708171844482422,,,,,
0,109,,,,17.068525314331055,,,,,
0,119,,,,24.26222038269043,,,,,
0,129,,,,14.859402656555176,,,,,
0,139,,,,50.211769104003906,,,,,
0,146,,,,,,30.483875274658203,929.2665405273438,30.48387336730957,29484.833984375
0,146,,,,,46.480445861816406,,,,
1,149,,,,19.389001846313477,,,,,
1,159,,,,26.723249435424805,,,,,
1,169,,,,33.02052307128906,,,,,
1,179,,,,30.771209716796875,,,,,
1,189,,,,50.08085632324219,,,,,
1,199,,,,43.65194320678711,,,,,
1,209,,,,50.07388687133789,,,,,
1,219,,,,23.858139038085938,,,,,
1,229,,,,23.672971725463867,,,,,
1,239,,,,30.019283294677734,,,,,
1,249,,,,61.45981216430664,,,,,
1,259,,,,24.632408142089844,,,,,
1,269,,,,39.24290084838867,,,,,
1,279,,,,33.89046096801758,,,,,
1,289,,,,47.378211975097656,,,,,
1,293,,,,,,30.897851943969727,954.67724609375,30.897851943969727,30575.080078125
1,293,,,,,37.63707733154297,,,,
2,299,,,,13.930488586425781,,,,,
2,309,,,,13.360088348388672,,,,,
2,319,,,,11.821447372436523,,,,,
2,329,,,,33.65968322753906,,,,,
2,339,,,,22.581480026245117,,,,,
2,349,,,,42.09914779663086,,,,,
2,359,,,,31.47307014465332,,,,,
2,369,,,,8.663300514221191,,,,,
2,379,,,,31.42378044128418,,,,,
2,389,,,,24.407215118408203,,,,,
2,399,,,,54.05457305908203,,,,,
2,409,,,,23.32180404663086,,,,,
2,419,,,,20.396108627319336,,,,,
2,429,,,,59.10466003417969,,,,,
2,439,,,,63.684452056884766,,,,,
2,440,,,,,,45.95428466796875,2111.79638671875,45.95428466796875,487442.0
2,440,,,,,35.79510498046875,,,,
3,449,,,,21.944442749023438,,,,,
3,459,,,,11.965970993041992,,,,,
3,469,,,,38.759151458740234,,,,,
3,479,,,,33.01161193847656,,,,,
3,489,,,,35.895023345947266,,,,,
3,499,,,,23.032203674316406,,,,,
3,509,,,,18.025257110595703,,,,,
3,519,,,,59.46155548095703,,,,,
3,529,,,,16.61128044128418,,,,,
3,539,,,,43.45014190673828,,,,,
3,549,,,,31.69892120361328,,,,,
3,559,,,,16.233108520507812,,,,,
3,569,,,,25.85449981689453,,,,,
3,579,,,,47.747657775878906,,,,,
3,587,,,,,,47.1239128112793,2220.6630859375,47.1239128112793,337796.625
3,587,,,,,35.019771575927734,,,,
4,589,,,,26.580028533935547,,,,,
4,599,,,,65.24472045898438,,,,,
4,609,,,,30.169010162353516,,,,,
4,619,,,,37.7235107421875,,,,,
4,629,,,,14.087103843688965,,,,,
4,639,,,,15.924688339233398,,,,,
4,649,,,,35.954471588134766,,,,,
4,659,,,,16.64232635498047,,,,,
4,669,,,,67.17198181152344,,,,,
4,679,,,,27.177854537963867,,,,,
4,689,,,,21.318143844604492,,,,,
4,699,,,,5.1715989112854,,,,,
4,709,,,,31.73636817932129,,,,,
4,719,,,,8.457937240600586,,,,,
4,729,,,,53.64982986450195,,,,,
4,734,,,,,,42.94504165649414,1844.2762451171875,42.945037841796875,120883.203125
4,734,,,,,34.728885650634766,,,,
5,739,,,,30.165306091308594,,,,,
5,749,,,,52.3134651184082,,,,,
5,759,,,,45.285316467285156,,,,,
5,769,,,,21.78238296508789,,,,,
5,779,,,,10.01273250579834,,,,,
5,789,,,,35.96904754638672,,,,,
5,799,,,,63.77619171142578,,,,,
5,809,,,,68.95758819580078,,,,,
5,819,,,,37.47910690307617,,,,,
5,829,,,,47.70745849609375,,,,,
