epoch,step,test/regression_loss,test_rmse,test_score,train/regression_loss,train_rmse,val/regression_loss,val_loss,val_rmse,val_score
0,9,,,,77.9765625,,,,,
0,19,,,,55.332366943359375,,,,,
0,25,,,,,,44.97017288208008,2022.316162109375,44.97016906738281,10090.521484375
0,25,,,,,70.55183410644531,,,,
1,29,,,,36.2002067565918,,,,,
1,39,,,,36.95601272583008,,,,,
1,49,,,,28.3935489654541,,,,,
1,51,,,,,,26.348417282104492,694.2390747070312,26.348417282104492,1912.695556640625
1,51,,,,,46.115421295166016,,,,
2,59,,,,12.010842323303223,,,,,
2,69,,,,17.044769287109375,,,,,
2,77,,,,,,26.098451614379883,681.1292724609375,26.098453521728516,6790.2373046875
2,77,,,,,39.306549072265625,,,,
3,79,,,,50.023311614990234,,,,,
3,89,,,,27.190643310546875,,,,,
3,99,,,,27.20698356628418,,,,,
3,103,,,,,,27.644580841064453,764.2227172851562,27.64457893371582,3433.71484375
3,103,,,,,40.505859375,,,,
4,109,,,,48.956974029541016,,,,,
4,119,,,,52.59566116333008,,,,,
4,129,,,,74.77393341064453,,,,,
4,129,,,,,,40.465850830078125,1637.485107421875,40.465850830078125,160824.5625
4,129,,,,,37.64224624633789,,,,
5,139,,,,46.02019119262695,,,,,
5,149,,,,40.367366790771484,,,,,
5,155,,,,,,30.222820281982422,913.4190063476562,30.222822189331055,18115.185546875
5,155,,,,,41.11164474487305,,,,
6,159,,,,41.41135787963867,,,,,
6,169,,,,21.823410034179688,,,,,
6,179,,,,19.516193389892578,,,,,
6,181,,,,,,32.935935974121094,1084.775634765625,32.93593215942383,29807.826171875
6,181,,,,,38.209632873535156,,,,
7,189,,,,14.62281608581543,,,,,
7,199,,,,11.929339408874512,,,,,
7,207,,,,,,35.306427001953125,1246.5438232421875,35.306427001953125,48887.17578125
7,207,,,,,38.65755081176758,,,,
8,209,,,,40.081756591796875,,,,,
8,219,,,,22.969886779785156,,,,,
8,229,,,,24.504114151000977,,,,,
8,233,,,,,,27.39798355102539,750.6494750976562,27.39798355102539,6219.34033203125
8,233,,,,,36.47802734375,,,,
9,239,,,,48.425235748291016,,,,,
9,249,,,,52.022071838378906,,,,,
9,259,,,,76.62871551513672,,,,,
9,259,,,,,,29.565587997436523,874.1240234375,29.565587997436523,13299.0185546875
9,259,,,,,37.54288864135742,,,,
10,269,,,,44.021644592285156,,,,,
10,279,,,,28.744543075561523,,,,,
10,285,,,,,,30.181325912475586,910.9124145507812,30.181325912475586,15755.525390625
10,285,,,,,35.20585632324219,,,,
11,289,,,,22.499523162841797,,,,,
11,299,,,,17.59804916381836,,,,,
11,309,,,,20.155879974365234,,,,,
11,311,,,,,,34.5491943359375,1193.6468505859375,34.5491943359375,34779.8671875
11,311,,,,,38.64812469482422,,,,
12,319,,,,4.917927265167236,,,,,
12,329,,,,23.09653091430664,,,,,
12,337,,,,,,39.88479232788086,1590.796630859375,39.88479232788086,79191.7421875
12,337,,,,,33.16413497924805,,,,
13,339,,,,47.2496337890625,,,,,
13,349,,,,25.31203269958496,,,,,
13,359,,,,32.191505432128906,,,,,
13,363,,,,,,45.53676986694336,2073.597412109375,45.53676986694336,200717.8125
13,363,,,,,40.472564697265625,,,,
14,369,,,,47.89918518066406,,,,,
14,379,,,,42.79686737060547,,,,,
14,389,,,,68.2619857788086,,,,,
14,389,,,,,,33.3816032409668,1114.3314208984375,33.3816032409668,23195.50390625
14,389,,,,,34.8128547668457,,,,
15,399,,,,46.66610336303711,,,,,
15,409,,,,28.769210815429688,,,,,
15,415,,,,,,34.87570571899414,1216.3148193359375,34.87570571899414,43473.5703125
15,415,,,,,36.74995803833008,,,,
16,419,,,,26.813016891479492,,,,,
16,429,,,,19.288610458374023,,,,,
16,439,,,,8.425345420837402,,,,,
16,441,,,,,,32.609619140625,1063.38720703125,32.609619140625,18440.71484375
16,441,,,,,32.973087310791016,,,,
17,449,,,,9.241864204406738,,,,,
17,459,,,,11.444540977478027,,,,,
17,467,,,,,,33.448577880859375,1118.807373046875,33.448577880859375,48043.875
17,467,,,,,37.316307067871094,,,,
18,469,,,,34.312217712402344,,,,,
18,479,,,,25.707971572875977,,,,,
18,489,,,,18.716886520385742,,,,,
18,493,,,,,,37.821475982666016,1430.46435546875,37.82147979736328,88169.8828125
18,493,,,,,33.38779067993164,,,,
19,499,,,,44.93500518798828,,,,,
19,509,,,,52.40947723388672,,,,,
19,519,,,,77.00524139404297,,,,,
19,519,,,,,,33.93947982788086,1151.8880615234375,33.939476013183594,29703.9375
19,519,,,,,35.20589065551758,,,,
20,529,,,,42.04314422607422,,,,,
20,539,,,,30.800905227661133,,,,,
20,545,,,,,,32.60990905761719,1063.4061279296875,32.60990905761719,25366.203125
20,545,,,,,34.9703254699707,,,,
21,549,,,,22.383567810058594,,,,,
21,559,,,,14.052878379821777,,,,,
21,569,,,,9.001505851745605,,,,,
21,571,,,,,,37.69545364379883,1420.947265625,37.69545364379883,74617.5625
21,571,,,,,31.362247467041016,,,,
22,579,,,,8.769713401794434,,,,,
22,589,,,,8.758607864379883,,,,,
22,597,,,,,,39.8557014465332,1588.4769287109375,39.8557014465332,58572.48046875
22,597,,,,,29.862632751464844,,,,
23,599,,,,40.9943962097168,,,,,
23,609,,,,20.73301124572754,,,,,
23,619,,,,17.537641525268555,,,,,
23,623,,,,,,42.42576599121094,1799.9459228515625,42.4257698059082,153640.3125
23,623,,,,,31.243009567260742,,,,
24,629,,,,42.13911437988281,,,,,
24,639,,,,45.465576171875,,,,,
24,649,,,,61.52541732788086,,,,,
24,649,,,,,,32.316734313964844,1044.37109375,32.31673049926758,15236.107421875
24,649,,,,,28.942354202270508,,,,
25,659,,,,37.44607925415039,,,,,
25,669,,,,28.183862686157227,,,,,
25,675,,,,,,40.059566497802734,1604.7685546875,40.05956268310547,86012.7890625
25,675,,,,,30.335481643676758,,,,
26,679,,,,11.073892593383789,,,,,
26,689,,,,9.883021354675293,,,,,
26,699,,,,12.732239723205566,,,,,
26,701,,,,,,27.567523956298828,759.96826171875,27.567522048950195,3837.98291015625
26,701,,,,,30.80523681640625,,,,
27,709,,,,10.47157096862793,,,,,
27,719,,,,10.267709732055664,,,,,
27,727,,,,,,43.00774383544922,1849.666015625,43.00774383544922,147547.96875
27,727,,,,,28.14187240600586,,,,
28,729,,,,39.13179397583008,,,,,
28,739,,,,18.215383529663086,,,,,
28,749,,,,11.989583969116211,,,,,
28,753,,,,,,39.09812545776367,1528.6630859375,39.098121643066406,52468.77734375
28,753,,,,,28.2623291015625,,,,
29,759,,,,37.03235626220703,,,,,
29,769,,,,47.71318817138672,,,,,
29,779,,,,56.608821868896484,,,,,
29,779,,,,,,30.647403717041016,939.2633666992188,30.647403717041016,9750.416015625
29,779,,,,,28.376176834106445,,,,
30,789,,,,35.92770004272461,,,,,
30,799,,,,19.223041534423828,,,,,
30,805,,,,,,44.43629455566406,1974.584228515625,44.43629455566406,66171.1484375
30,805,,,,,28.540925979614258,,,,
31,809,,,,11.145153045654297,,,,,
31,819,,,,9.200225830078125,,,,,
31,829,,,,8.645564079284668,,,,,
31,831,,,,,,38.338165283203125,1469.81494140625,38.338165283203125,23302.642578125
31,831,,,,,23.618247985839844,,,,
32,839,,,,10.43832015991211,,,,,
32,849,,,,9.729440689086914,,,,,
32,857,,,,,,36.79206085205078,1353.65576171875,36.79206085205078,22728.638671875
32,857,,,,,22.83687973022461,,,,
33,859,,,,37.3380012512207,,,,,
33,869,,,,9.007951736450195,,,,,
33,879,,,,9.759744644165039,,,,,
33,883,,,,,,35.5767936706543,1265.708251953125,35.5767936706543,10758.2626953125
33,883,,,,,22.810504913330078,,,,
34,889,,,,36.104705810546875,,,,,
34,899,,,,39.3320426940918,,,,,
34,909,,,,42.80467987060547,,,,,
34,909,,,,,,38.967628479003906,1518.476318359375,38.96763229370117,26203.341796875
34,909,,,,,24.04187774658203,,,,
35,919,,,,16.127016067504883,,,,,
35,929,,,,8.927732467651367,,,,,
35,935,,,,,,33.259220123291016,1106.17578125,33.259220123291016,10840.037109375
35,935,,,,,23.576065063476562,,,,
36,939,,,,10.551779747009277,,,,,
36,949,,,,18.77273178100586,,,,,
36,959,,,,7.893394947052002,,,,,
36,961,,,,,,30.259010314941406,915.6077270507812,30.259010314941406,8786.6875
36,961,,,,,26.574535369873047,,,,
37,969,,,,22.839107513427734,,,,,
37,979,,,,13.767376899719238,,,,,
37,987,,,,,,40.178096771240234,1614.2791748046875,40.17809295654297,112527.3203125
37,987,,,,,30.604217529296875,,,,
38,989,,,,25.726491928100586,,,,,
38,999,,,,10.292771339416504,,,,,
38,1009,,,,10.839851379394531,,,,,
38,1013,,,,,,48.561927795410156,2358.260498046875,48.56192398071289,348234.75
38,1013,,,,,23.060821533203125,,,,
39,1019,,,,24.51268196105957,,,,,
39,1029,,,,27.163421630859375,,,,,
39,1039,,,,55.93415832519531,,,,,
39,1039,,,,,,34.149532318115234,1166.1905517578125,34.149532318115234,16182.310546875
39,1039,,,,,18.545509338378906,,,,
40,1049,,,,10.971745491027832,,,,,
40,1059,,,,20.757123947143555,,,,,
40,1065,,,,,,31.46518325805664,990.0577392578125,31.46518325805664,12789.888671875
40,1065,,,,,16.282405853271484,,,,
41,1069,,,,11.796111106872559,,,,,
41,1079,,,,14.917448997497559,,,,,
41,1089,,,,8.88369083404541,,,,,
41,1091,,,,,,34.63050842285156,1199.2720947265625,34.63050842285156,18357.1015625
41,1091,,,,,16.51932144165039,,,,
42,1099,,,,9.012497901916504,,,,,
42,1109,,,,18.459747314453125,,,,,
42,1117,,,,,,30.642486572265625,938.9619750976562,30.642486572265625,8384.498046875
42,1117,,,,,15.56734848022461,,,,
43,1119,,,,26.23065185546875,,,,,
43,1129,,,,20.409135818481445,,,,,
43,1139,,,,7.930764675140381,,,,,
43,1143,,,,,,32.481319427490234,1055.036376953125,32.4813232421875,8373.91015625
43,1143,,,,,16.810237884521484,,,,
44,1149,,,,19.553619384765625,,,,,
44,1159,,,,33.72040557861328,,,,,
44,1169,,,,29.16638946533203,,,,,
44,1169,,,,,,32.204803466796875,1037.1494140625,32.204803466796875,2776.099609375
44,1169,,,,,19.04280662536621,,,,
45,1179,,,,16.441267013549805,,,,,
45,1189,,,,14.797717094421387,,,,,
