epoch,step,test/regression_loss,test_rmse,test_score,train/regression_loss,train_rmse,val/regression_loss,val_loss,val_rmse,val_score
0,9,,,,72.65909576416016,,,,,
0,19,,,,52.7408447265625,,,,,
0,25,,,,,,43.83026123046875,1921.091796875,43.83026123046875,6922.42431640625
0,25,,,,,67.31121063232422,,,,
1,29,,,,30.653059005737305,,,,,
1,39,,,,31.220111846923828,,,,,
1,49,,,,34.6378059387207,,,,,
1,51,,,,,,35.77894973754883,1280.13330078125,35.77894973754883,4562.7880859375
1,51,,,,,51.27492141723633,,,,
2,59,,,,10.312273979187012,,,,,
2,69,,,,16.580673217773438,,,,,
2,77,,,,,,44.90196228027344,2016.1861572265625,44.90196228027344,152522.609375
2,77,,,,,42.70473861694336,,,,
3,79,,,,43.9480094909668,,,,,
3,89,,,,24.84076690673828,,,,,
3,99,,,,31.112871170043945,,,,,
3,103,,,,,,25.80438995361328,665.8665161132812,25.80438995361328,4095.790771484375
3,103,,,,,41.99589920043945,,,,
4,109,,,,52.84358596801758,,,,,
4,119,,,,54.0134391784668,,,,,
4,129,,,,79.97430419921875,,,,,
4,129,,,,,,42.84716033935547,1835.879150390625,42.84716033935547,73049.25
4,129,,,,,41.05772018432617,,,,
5,139,,,,43.023738861083984,,,,,
5,149,,,,40.62244415283203,,,,,
5,155,,,,,,43.24181365966797,1869.8544921875,43.24181365966797,83700.59375
5,155,,,,,40.47100067138672,,,,
6,159,,,,35.07086181640625,,,,,
6,169,,,,21.16960334777832,,,,,
6,179,,,,16.978986740112305,,,,,
6,181,,,,,,38.95174789428711,1517.2386474609375,38.95174789428711,35138.0390625
6,181,,,,,38.84342575073242,,,,
7,189,,,,11.28746509552002,,,,,
7,199,,,,11.578588485717773,,,,,
7,207,,,,,,36.34657287597656,1321.0736083984375,36.34657669067383,17947.71484375
7,207,,,,,41.59858703613281,,,,
8,209,,,,36.889163970947266,,,,,
8,219,,,,25.21288299560547,,,,,
8,229,,,,20.83936309814453,,,,,
8,233,,,,,,27.805194854736328,773.1287841796875,27.805192947387695,4511.6630859375
8,233,,,,,36.63809585571289,,,,
9,239,,,,52.006263732910156,,,,,
9,249,,,,53.42597198486328,,,,,
9,259,,,,81.27188110351562,,,,,
9,259,,,,,,26.815155029296875,719.0525512695312,26.815155029296875,6825.39013671875
9,259,,,,,39.711669921875,,,,
10,269,,,,44.77878952026367,,,,,
10,279,,,,32.24800109863281,,,,,
10,285,,,,,,38.003170013427734,1444.240966796875,38.003170013427734,19053.859375
10,285,,,,,36.77342224121094,,,,
11,289,,,,25.34982681274414,,,,,
11,299,,,,14.901137351989746,,,,,
11,309,,,,18.59766960144043,,,,,
11,311,,,,,,44.04264831542969,1939.7548828125,44.04264831542969,71316.8125
11,311,,,,,38.768310546875,,,,
12,319,,,,6.355472564697266,,,,,
12,329,,,,22.833877563476562,,,,,
12,337,,,,,,32.32536315917969,1044.9293212890625,32.32536697387695,6202.75341796875
12,337,,,,,34.478790283203125,,,,
13,339,,,,47.46858215332031,,,,,
13,349,,,,21.659332275390625,,,,,
13,359,,,,32.69326400756836,,,,,
13,363,,,,,,42.41349792480469,1798.90478515625,42.41349792480469,53694.59375
13,363,,,,,39.70541763305664,,,,
14,369,,,,46.923404693603516,,,,,
14,379,,,,39.4359130859375,,,,,
14,389,,,,71.1100082397461,,,,,
14,389,,,,,,36.587379455566406,1338.6363525390625,36.587379455566406,14939.3935546875
14,389,,,,,33.85310363769531,,,,
15,399,,,,39.20319747924805,,,,,
15,409,,,,41.488033294677734,,,,,
15,415,,,,,,48.47948455810547,2350.260498046875,48.47948455810547,146874.828125
15,415,,,,,38.94675827026367,,,,
16,419,,,,34.41765594482422,,,,,
16,429,,,,22.69658088684082,,,,,
16,439,,,,9.551897048950195,,,,,
16,441,,,,,,43.9195671081543,1928.9283447265625,43.9195671081543,204709.421875
16,441,,,,,34.88654708862305,,,,
17,449,,,,5.385124683380127,,,,,
17,459,,,,17.62708282470703,,,,,
17,467,,,,,,33.57747268676758,1127.4466552734375,33.57747268676758,13075.0712890625
17,467,,,,,37.75863265991211,,,,
18,469,,,,36.983543395996094,,,,,
18,479,,,,22.682037353515625,,,,,
18,489,,,,22.661386489868164,,,,,
18,493,,,,,,35.182865142822266,1237.833984375,35.182865142822266,16467.818359375
18,493,,,,,34.94667053222656,,,,
19,499,,,,44.88143539428711,,,,,
19,509,,,,46.078285217285156,,,,,
19,519,,,,71.96900939941406,,,,,
19,519,,,,,,41.995887756347656,1763.654541015625,41.995887756347656,112800.8125
19,519,,,,,33.58916091918945,,,,
20,529,,,,38.07504653930664,,,,,
20,539,,,,32.090065002441406,,,,,
20,545,,,,,,32.01425552368164,1024.91259765625,32.01425552368164,19168.09375
20,545,,,,,34.843994140625,,,,
21,549,,,,21.585628509521484,,,,,
21,559,,,,31.0544376373291,,,,,
21,569,,,,7.469958305358887,,,,,
21,571,,,,,,30.98859977722168,960.293212890625,30.988597869873047,7946.56640625
21,571,,,,,32.33671951293945,,,,
22,579,,,,16.28038787841797,,,,,
22,589,,,,7.572658061981201,,,,,
22,597,,,,,,32.13884735107422,1032.905517578125,32.13884735107422,25214.453125
22,597,,,,,34.557308197021484,,,,
23,599,,,,36.68132400512695,,,,,
23,609,,,,19.908409118652344,,,,,
23,619,,,,26.16912841796875,,,,,
23,623,,,,,,44.343955993652344,1966.386474609375,44.343955993652344,165997.421875
23,623,,,,,33.85454559326172,,,,
24,629,,,,43.59621810913086,,,,,
24,639,,,,44.77922058105469,,,,,
24,649,,,,70.34014892578125,,,,,
24,649,,,,,,42.501319885253906,1806.3621826171875,42.501319885253906,54507.28515625
24,649,,,,,32.908443450927734,,,,
25,659,,,,37.36314392089844,,,,,
25,669,,,,15.121870040893555,,,,,
25,675,,,,,,29.016681671142578,841.9678344726562,29.016681671142578,5219.36328125
25,675,,,,,27.938819885253906,,,,
26,679,,,,13.701319694519043,,,,,
26,689,,,,10.394604682922363,,,,,
26,699,,,,8.972946166992188,,,,,
26,701,,,,,,49.10600662231445,2411.39990234375,49.10600662231445,295646.65625
26,701,,,,,27.13776969909668,,,,
27,709,,,,7.238714694976807,,,,,
27,719,,,,7.072921276092529,,,,,
27,727,,,,,,32.22767639160156,1038.6231689453125,32.22767639160156,7710.82958984375
27,727,,,,,27.288911819458008,,,,
28,729,,,,42.73088455200195,,,,,
28,739,,,,11.443537712097168,,,,,
28,749,,,,12.670002937316895,,,,,
28,753,,,,,,51.01378631591797,2602.406494140625,51.01378631591797,661863.0
28,753,,,,,28.860490798950195,,,,
29,759,,,,44.02566909790039,,,,,
29,769,,,,43.28976821899414,,,,,
29,779,,,,46.88165283203125,,,,,
29,779,,,,,,55.68711471557617,3101.0546875,55.68711471557617,1901815.25
29,779,,,,,28.629777908325195,,,,
30,789,,,,30.060800552368164,,,,,
30,799,,,,14.539289474487305,,,,,
30,805,,,,,,45.692562103271484,2087.810302734375,45.692562103271484,231601.15625
30,805,,,,,27.06261444091797,,,,
31,809,,,,11.024988174438477,,,,,
31,819,,,,10.43570613861084,,,,,
31,829,,,,9.741510391235352,,,,,
31,831,,,,,,27.210514068603516,740.4119873046875,27.210512161254883,8379.1201171875
31,831,,,,,25.95587158203125,,,,
32,839,,,,9.100845336914062,,,,,
32,849,,,,8.57049560546875,,,,,
32,857,,,,,,43.229225158691406,1868.765869140625,43.229225158691406,268816.3125
32,857,,,,,23.164186477661133,,,,
33,859,,,,24.91600227355957,,,,,
33,869,,,,14.110615730285645,,,,,
33,879,,,,23.4326229095459,,,,,
33,883,,,,,,33.84554672241211,1145.52099609375,33.84554672241211,25492.541015625
33,883,,,,,20.562437057495117,,,,
34,889,,,,35.409420013427734,,,,,
34,899,,,,40.90749740600586,,,,,
34,909,,,,39.716705322265625,,,,,
34,909,,,,,,30.117525100708008,907.0653076171875,30.117525100708008,2740.04345703125
34,909,,,,,24.596323013305664,,,,
35,919,,,,18.642887115478516,,,,,
35,929,,,,21.469881057739258,,,,,
35,935,,,,,,39.460330963134766,1557.11767578125,39.460330963134766,58722.91015625
35,935,,,,,22.126686096191406,,,,
36,939,,,,16.164825439453125,,,,,
36,949,,,,8.266090393066406,,,,,
36,959,,,,14.29715633392334,,,,,
36,961,,,,,,30.245319366455078,914.7796020507812,30.245323181152344,9811.6435546875
36,961,,,,,18.725404739379883,,,,
37,969,,,,15.594408988952637,,,,,
37,979,,,,13.597410202026367,,,,,
37,987,,,,,,31.452533721923828,989.2619018554688,31.452533721923828,3735.3662109375
37,987,,,,,17.840717315673828,,,,
38,989,,,,19.803342819213867,,,,,
38,999,,,,11.44704818725586,,,,,
38,1009,,,,8.687016487121582,,,,,
38,1013,,,,,,43.83045959472656,1921.1094970703125,43.83046340942383,294083.0
38,1013,,,,,18.245798110961914,,,,
39,1019,,,,19.770139694213867,,,,,
39,1029,,,,18.168027877807617,,,,,
39,1039,,,,47.78551483154297,,,,,
39,1039,,,,,,27.371688842773438,749.20947265625,27.37169075012207,2419.162841796875
39,1039,,,,,18.483562469482422,,,,
40,1049,,,,10.989108085632324,,,,,
40,1059,,,,9.66794204711914,,,,,
40,1065,,,,,,31.15728759765625,970.7765502929688,31.15728759765625,12914.310546875
40,1065,,,,,17.391305923461914,,,,
41,1069,,,,7.309411525726318,,,,,
41,1079,,,,17.16596221923828,,,,,
41,1089,,,,18.995498657226562,,,,,
41,1091,,,,,,29.0205078125,842.1898803710938,29.0205078125,3011.615234375
41,1091,,,,,14.478734970092773,,,,
42,1099,,,,14.412335395812988,,,,,
42,1109,,,,15.932329177856445,,,,,
42,1117,,,,,,35.27932357788086,1244.63037109375,35.279319763183594,6209.8154296875
42,1117,,,,,17.234037399291992,,,,
43,1119,,,,21.0135555267334,,,,,
43,1129,,,,8.329752922058105,,,,,
43,1139,,,,10.619827270507812,,,,,
43,1143,,,,,,28.74935531616211,826.5254516601562,28.74935531616211,7932.8583984375
43,1143,,,,,16.875442504882812,,,,
44,1149,,,,16.505535125732422,,,,,
44,1159,,,,21.84955406188965,,,,,
44,1169,,,,39.86479949951172,,,,,
44,1169,,,,,,32.720985412597656,1070.662841796875,32.720985412597656,8135.8974609375
44,1169,,,,,14.536945343017578,,,,
45,1179,,,,9.305804252624512,,,,,
45,1189,,,,14.429800987243652,,,,,
45,1195,,,,,,32.77143478393555,1073.9669189453125,32.77143478393555,13331.6767578125
45,1195,,,,,14.313312530517578,,,,
46,1199,,,,6.309901714324951,,,,,
46,1209,,,,10.9735689163208,,,,,
46,1219,,,,8.132545471191406,,,,,
46,1221,,,,,,30.68913459777832,941.822998046875,30.68913459777832,6298.98046875
46,1221,,,,,11.498147964477539,,,,
47,1229,,,,11.643538475036621,,,,,
47,1239,,,,15.097391128540039,,,,,
47,1247,,,,,,29.96493911743164,897.8973388671875,29.964935302734375,3043.372314453125
47,1247,,,,,13.72991943359375,,,,
48,1249,,,,10.726490020751953,,,,,
48,1259,,,,12.357831954956055,,,,,
48,1269,,,,8.800098419189453,,,,,
48,1273,,,,,,33.18638229370117,1101.3359375,33.18638229370117,9465.04296875
48,1273,,,,,11.5455961227417,,,,
49,1279,,,,8.48585319519043,,,,,
49,1289,,,,9.581315040588379,,,,,
49,1299,,,,37.037139892578125,,,,,
49,1299,,,,,,30.24898910522461,915.001220703125,30.248987197875977,6734.64794921875
49,1299,,,,,12.440547943115234,,,,
50,1309,,,,8.54666805267334,,,,,
50,1319,,,,16.01974868774414,,,,,
50,1325,,,,,,29.948650360107422,896.921630859375,29.948650360107422,4716.9970703125
50,1325,,,,,13.365435600280762,,,,
51,1329,,,,13.677515983581543,,,,,
51,1339,,,,9.921957969665527,,,,,
51,1349,,,,9.669785499572754,,,,,
51,1351,,,,,,43.367469787597656,1880.7374267578125,43.367469787597656,1000190.375
